customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,state,city,latitude,longitude,age,married,referred_a_friend,number_of_referrals,offer,avg_monthly_gb_download,streaming_music,unlimited_data,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_level,open_issue_count,close_issue_count,support_interaction_count,resolution_status_open_closed
5956-VKDTT,Female,1,Yes    ,No        ,5,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,74.35,California,Moreno Valley         ,33.970661,-117.255039,72,Yes    ,Yes              ,4,Offer E,22,No             ,Yes           ,0.0,0,228.8,563.6,Low,8,1,9,Resolved
7786-WBJYI,Female,0,No     ,No        ,4,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,No              ,Bank transfer (automatic),77.95,California,Truckee               ,39.342498,-120.247127,31,No     ,No               ,0,None   ,26,No             ,Yes           ,0.0,0,123.8,429.35,Low,8,1,9,Resolved
6981-TDRFT,Male  ,0,Yes    ,Yes       ,44,No          ,No phone service,DSL            ,Yes                ,Yes                ,Yes                ,One year      ,Yes             ,Electronic check         ,54.3,California,Soulsbyville          ,37.990574,-120.261821,25,Yes    ,Yes              ,1,None   ,69,Yes            ,No            ,0.0,10,0.0,2327.1,High,1,4,5,Resolved
5982-FPVQN,Female,0,Yes    ,Yes       ,37,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,Yes                ,Month-to-month,Yes             ,Electronic check         ,95.15,California,Camarillo             ,34.205504,-118.993111,40,Yes    ,Yes              ,2,None   ,15,Yes            ,Yes           ,0.0,0,1518.11,5050.96,Medium,1,3,4,NotResolved
4351-QLCSU,Female,0,No     ,No        ,1,Yes         ,No              ,DSL            ,No                 ,Yes                ,No                 ,Month-to-month,Yes             ,Credit card (automatic)  ,55.0,California,Quincy                ,39.971228,-121.041166,47,No     ,No               ,0,None   ,26,No             ,Yes           ,0.0,0,32.74,87.74000000000001,Low,9,1,10,Resolved
4451-RWASJ,Male  ,0,Yes    ,Yes       ,15,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,One year      ,Yes             ,Mailed check             ,19.5,California,Lagunitas             ,38.021772,-122.691744,35,Yes    ,Yes              ,9,Offer D,0,No             ,No            ,0.0,0,740.4,980.15,High,0,6,6,Resolved
2824-MYYBN,Female,0,Yes    ,Yes       ,37,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,95.25,California,Bakersfield           ,35.140938,-119.051348,43,Yes    ,No               ,0,None   ,11,Yes            ,Yes           ,0.0,0,59.2,3373.35,High,1,3,4,Resolved
0471-LVHGK,Male  ,0,Yes    ,No        ,41,Yes         ,Yes             ,DSL            ,No                 ,Yes                ,Yes                ,One year      ,Yes             ,Electronic check         ,73.0,California,Orangevale            ,38.689174,-121.218435,34,Yes    ,Yes              ,1,None   ,29,Yes            ,Yes           ,0.0,0,652.3100000000001,3653.51,Low,8,1,9,Resolved
1099-GODLO,Female,0,Yes    ,Yes       ,1,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Two year      ,No              ,Mailed check             ,20.35,California,Berkeley              ,37.878554,-122.26609,62,Yes    ,Yes              ,9,None   ,0,No             ,No            ,0.0,0,30.09,50.44,High,0,4,4,Resolved
0357-NVCRI,Female,0,No     ,Yes       ,25,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Month-to-month,No              ,Credit card (automatic)  ,20.05,California,El Cajon              ,32.832706,-116.873258,41,No     ,No               ,0,Offer C,0,No             ,No            ,0.0,0,321.75,793.45,High,1,3,4,Resolved
