customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,state,city,latitude,longitude,age,married,referred_a_friend,number_of_referrals,offer,avg_monthly_gb_download,streaming_music,unlimited_data,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_level,open_issue_count,close_issue_count,support_interaction_count,resolution_status_open_closed
9419-IPPBE,Female,0,Yes    ,Yes       ,51,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,Yes                ,One year      ,Yes             ,Electronic check         ,90.15,California,Solana Beach          ,33.001813,-117.263628,21,Yes    ,Yes              ,4,Offer B,59,Yes            ,Yes           ,0.0,0,1014.9,5569.75,Medium,1,3,4,Resolved
5527-ACHSO,Female,0,No     ,No        ,11,Yes         ,No              ,DSL            ,Yes                ,Yes                ,Yes                ,Month-to-month,No              ,Mailed check             ,70.5,California,Orange                ,33.828779,-117.848299,38,No     ,No               ,0,None   ,12,Yes            ,Yes           ,0.0,0,523.71,1353.01,Medium,7,1,8,Resolved
2959-EEXWB,Female,0,Yes    ,Yes       ,45,No          ,No phone service,DSL            ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Bank transfer (automatic),50.9,California,Pasadena              ,34.13946,-118.166649,54,Yes    ,Yes              ,10,Offer B,18,Yes            ,Yes           ,0.0,0,0.0,2333.85,Medium,6,0,6,Resolved
3096-YXENJ,Female,0,Yes    ,No        ,65,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Two year      ,Yes             ,Bank transfer (automatic),107.65,California,Danville              ,37.791481,-121.903253,25,Yes    ,Yes              ,1,None   ,52,Yes            ,Yes           ,0.0,0,1799.85,8882.7,High,1,3,4,Resolved
3308-JSGML,Male  ,1,Yes    ,No        ,59,No          ,No phone service,DSL            ,Yes                ,Yes                ,Yes                ,Two year      ,Yes             ,Credit card (automatic)  ,64.05,California,Shandon               ,35.634488,-120.293534,77,Yes    ,Yes              ,3,None   ,6,No             ,Yes           ,0.0,0,0.0,3886.85,Medium,0,5,5,Resolved
7267-FRMJW,Female,0,Yes    ,Yes       ,25,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Two year      ,No              ,Mailed check             ,20.1,California,Sierra Madre          ,34.168686,-118.057505,25,Yes    ,Yes              ,1,Offer C,0,No             ,No            ,0.0,0,114.25,600.3,Medium,1,5,6,Resolved
6351-SCJKT,Male  ,0,No     ,No        ,3,No          ,No phone service,DSL            ,Yes                ,No                 ,No                 ,Month-to-month,No              ,Mailed check             ,41.35,California,Santa Cruz            ,36.974575,-121.991149,32,No     ,No               ,0,None   ,25,No             ,Yes           ,0.0,0,0.0,107.25,Medium,0,5,5,Resolved
9677-AVKED,Female,0,No     ,Yes       ,53,Yes         ,Yes             ,DSL            ,Yes                ,Yes                ,Yes                ,One year      ,Yes             ,Electronic check         ,84.6,California,La Verne              ,34.144703,-117.770299,55,No     ,No               ,0,None   ,18,Yes            ,Yes           ,0.0,0,770.62,5220.37,High,6,0,6,Resolved
8155-IBNHG,Female,0,Yes    ,No        ,24,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Credit card (automatic)  ,75.4,California,San Diego             ,32.747484,-117.166877,55,Yes    ,Yes              ,1,None   ,29,No             ,Yes           ,0.0,0,425.52,2173.37,Medium,7,0,7,Resolved
8849-GYOKR,Female,0,Yes    ,No        ,54,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,One year      ,No              ,Bank transfer (automatic),106.55,California,Mineral               ,40.408796,-121.579609,59,Yes    ,Yes              ,2,None   ,21,Yes            ,Yes           ,0.0,0,476.82,6240.12,Low,9,0,9,Resolved
