customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,state,city,latitude,longitude,age,married,referred_a_friend,number_of_referrals,offer,avg_monthly_gb_download,streaming_music,unlimited_data,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_level,open_issue_count,close_issue_count,support_interaction_count,resolution_status_open_closed
3791-LGQCY,Female,1,Yes    ,No        ,56,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Bank transfer (automatic),100.65,California,Loomis                ,38.809175,-121.171375,68,Yes    ,Yes              ,1,None   ,29,No             ,No            ,0.0,130,1893.36,7711.41,Low,8,1,9,Resolved
9076-AXYIK,Male  ,1,Yes    ,No        ,64,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Two year      ,No              ,Electronic check         ,102.1,California,Nipton                ,35.478736,-115.516984,66,Yes    ,Yes              ,2,None   ,8,Yes            ,Yes           ,0.0,0,1292.16,7830.61,High,0,3,3,Resolved
5989-PGKJB,Female,0,No     ,No        ,16,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,Yes                ,Month-to-month,Yes             ,Electronic check         ,86.25,California,San Diego             ,32.898613,-117.202937,40,No     ,No               ,0,Offer D,28,Yes            ,Yes           ,0.0,0,356.8,1696.9,High,6,0,6,Resolved
9477-LGWQI,Male  ,0,Yes    ,Yes       ,70,Yes         ,No              ,DSL            ,No                 ,Yes                ,Yes                ,Two year      ,Yes             ,Credit card (automatic)  ,80.15,California,Darwin                ,36.319181,-117.593053,28,Yes    ,Yes              ,10,Offer A,46,Yes            ,Yes           ,0.0,0,1685.6,7285.75,Medium,7,1,8,Resolved
0829-XXPLX,Female,0,No     ,No        ,20,Yes         ,No              ,Fiber optic    ,No                 ,Yes                ,No                 ,Month-to-month,Yes             ,Bank transfer (automatic),89.4,California,Cutler                ,36.497895,-119.285484,48,No     ,No               ,0,None   ,21,No             ,Yes           ,0.0,0,610.4,2481.55,High,6,1,7,Resolved
9961-JBNMK,Male  ,1,No     ,No        ,21,Yes         ,No              ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Bank transfer (automatic),96.8,California,Desert Center         ,33.889605,-115.257009,79,No     ,No               ,0,None   ,7,No             ,Yes           ,10.2,0,887.6700000000001,2907.77,Low,8,0,8,Resolved
8958-JPTRR,Female,0,Yes    ,No        ,56,Yes         ,Yes             ,No             ,No internet service,No internet service,No internet service,One year      ,No              ,Electronic check         ,24.3,California,Calabasas             ,34.130861,-118.68346,23,Yes    ,Yes              ,7,None   ,0,No             ,No            ,0.0,0,1187.76,2449.46,High,0,4,4,Resolved
9086-YJYXS,Male  ,0,Yes    ,Yes       ,34,Yes         ,Yes             ,DSL            ,No                 ,Yes                ,Yes                ,One year      ,No              ,Bank transfer (automatic),77.2,California,San Martin            ,37.084697,-121.606417,23,Yes    ,No               ,0,Offer C,52,Yes            ,Yes           ,0.0,0,183.26,2937.0600000000004,High,0,6,6,Resolved
6695-FRVEC,Male  ,0,Yes    ,Yes       ,67,Yes         ,No              ,DSL            ,Yes                ,No                 ,No                 ,Two year      ,Yes             ,Bank transfer (automatic),60.4,California,Burbank               ,34.169706,-118.323548,60,Yes    ,Yes              ,1,None   ,13,No             ,No            ,0.0,40,1418.39,5412.09,Medium,7,1,8,Resolved
9492-TOKRI,Female,0,No     ,No        ,18,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,No                 ,Month-to-month,Yes             ,Credit card (automatic)  ,90.0,California,Dinuba                ,36.523619,-119.386868,55,No     ,No               ,0,None   ,5,No             ,Yes           ,0.0,0,245.7,1773.05,Low,9,1,10,Resolved
8058-JMEQO,Female,1,No     ,No        ,9,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,Yes                ,Month-to-month,Yes             ,Electronic check         ,84.45,California,Los Angeles           ,34.066367,-118.309868,76,No     ,No               ,0,Offer E,21,No             ,Yes           ,0.0,0,116.19,878.69,Medium,9,1,10,Resolved
7993-NQLJE,Male  ,0,Yes    ,Yes       ,15,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,No              ,Mailed check             ,75.1,California,Glenn                 ,39.597975,-122.032248,39,Yes    ,Yes              ,7,None   ,17,No             ,Yes           ,0.0,0,490.94999999999993,1642.5,High,6,0,6,Resolved
8318-LCNBW,Male  ,0,Yes    ,No        ,35,No          ,No phone service,DSL            ,No                 ,Yes                ,Yes                ,One year      ,No              ,Credit card (automatic)  ,53.15,California,San Luis Obispo       ,35.236549,-120.727344,53,Yes    ,Yes              ,5,None   ,30,Yes            ,Yes           ,0.0,0,0.0,1930.9,Medium,1,5,6,NotResolved
