customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,state,city,latitude,longitude,age,married,referred_a_friend,number_of_referrals,offer,avg_monthly_gb_download,streaming_music,unlimited_data,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_level,open_issue_count,close_issue_count,support_interaction_count,resolution_status_open_closed
8824-RWFXJ,Male  ,0,Yes    ,Yes       ,3,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Mailed check             ,56.15,California,Santa Cruz            ,36.974575,-121.991149,21,Yes    ,Yes              ,1,Offer E,52,Yes            ,Yes           ,0.0,0,87.87,256.02,Low,8,1,9,Resolved
7486-KSRVI,Male  ,0,No     ,No        ,43,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,One year      ,Yes             ,Electronic check         ,100.0,California,Folsom                ,38.672638,-121.147403,56,No     ,No               ,0,Offer B,23,Yes            ,No            ,0.0,140,1692.91,6044.46,Low,9,0,9,NotResolved
1307-ATKGB,Male  ,0,No     ,No        ,24,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,Yes                ,Month-to-month,Yes             ,Electronic check         ,89.55,California,Santa Clara           ,37.393554,-121.965114,21,No     ,No               ,0,None   ,59,Yes            ,Yes           ,0.0,0,669.84,2856.99,High,0,5,5,Resolved
0880-TKATG,Male  ,0,Yes    ,Yes       ,4,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,No              ,Electronic check         ,101.15,California,Lucerne Valley        ,34.508417,-116.856103,21,Yes    ,Yes              ,3,Offer E,48,Yes            ,Yes           ,0.0,0,38.24,424.14,Low,8,0,8,Resolved
2533-TIBIX,Male  ,0,Yes    ,Yes       ,15,No          ,No phone service,DSL            ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Bank transfer (automatic),30.2,California,Oak Run               ,40.689243,-122.037023,59,Yes    ,Yes              ,8,None   ,16,No             ,Yes           ,0.0,0,0.0,469.65,High,7,1,8,NotResolved
2660-EMUBI,Male  ,1,No     ,No        ,10,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,95.35,California,Fort Jones            ,41.5837,-122.935922,71,No     ,No               ,0,Offer D,14,No             ,Yes           ,0.0,0,413.7,1312.05,Low,7,1,8,NotResolved
9947-OTFQU,Male  ,1,No     ,No        ,15,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,74.4,California,Covina                ,34.097345,-117.906736,65,No     ,No               ,0,Offer D,29,No             ,Yes           ,0.0,0,436.65,1510.9499999999998,Low,8,0,8,Resolved
3685-YLCMQ,Male  ,0,No     ,No        ,58,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,One year      ,Yes             ,Electronic check         ,104.65,California,Dobbins               ,39.381174,-121.21191,34,No     ,No               ,0,Offer B,25,Yes            ,No            ,0.0,40,2386.12,8645.720000000001,Low,6,1,7,NotResolved
0823-HSCDJ,Male  ,1,No     ,No        ,52,No          ,No phone service,DSL            ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,49.15,California,Onyx                  ,35.676978,-118.101378,76,No     ,No               ,0,None   ,18,Yes            ,No            ,0.0,30,0.0,2580.9,Low,9,1,10,Resolved
0345-XMMUG,Female,0,Yes    ,No        ,46,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Two year      ,Yes             ,Credit card (automatic)  ,108.9,California,Ione                  ,38.33788,-120.954202,29,Yes    ,Yes              ,6,None   ,48,Yes            ,Yes           ,0.0,0,92.0,4946.3,High,1,5,6,Resolved
4903-UYAVB,Male  ,0,Yes    ,No        ,5,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Month-to-month,No              ,Mailed check             ,19.35,California,Lathrop               ,37.80821,-121.308401,53,Yes    ,No               ,0,Offer E,0,No             ,No            ,0.0,0,158.8,284.85,Low,9,0,9,Resolved
6513-EECDB,Male  ,1,Yes    ,No        ,1,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,73.55,California,San Francisco         ,37.758085,-122.434801,75,Yes    ,No               ,0,None   ,6,No             ,Yes           ,0.0,0,36.92,110.47,Low,9,1,10,Resolved
