customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,state,city,latitude,longitude,age,married,referred_a_friend,number_of_referrals,offer,avg_monthly_gb_download,streaming_music,unlimited_data,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_level,open_issue_count,close_issue_count,support_interaction_count,resolution_status_open_closed
1439-LCGVL,Female,0,Yes    ,No        ,26,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,One year      ,No              ,Mailed check             ,19.2,California,Los Angeles           ,34.051809,-118.383843,42,Yes    ,Yes              ,10,Offer C,0,No             ,No            ,0.0,0,45.5,505.1,Medium,1,4,5,Resolved
0254-WWRKD,Female,0,Yes    ,Yes       ,67,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,One year      ,No              ,Credit card (automatic)  ,50.55,California,Challenge             ,39.461768,-121.195825,44,Yes    ,Yes              ,1,Offer A,28,No             ,Yes           ,0.0,0,3142.3,6574.049999999999,High,1,6,7,NotResolved
7107-UBYKY,Female,0,Yes    ,Yes       ,35,Yes         ,Yes             ,No             ,No internet service,No internet service,No internet service,Month-to-month,Yes             ,Electronic check         ,25.75,California,Sutter                ,39.172777,-121.805845,62,Yes    ,Yes              ,5,Offer C,0,No             ,No            ,0.0,0,866.6,1749.15,High,0,5,5,Resolved
1635-HDGFT,Female,0,No     ,Yes       ,19,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Two year      ,No              ,Mailed check             ,20.5,California,Manton                ,40.426679,-121.850421,29,No     ,No               ,0,Offer D,0,No             ,No            ,24.07,0,673.5500000000001,1048.0300000000002,High,6,0,6,NotResolved
6849-WLEYG,Male  ,0,No     ,Yes       ,1,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Month-to-month,No              ,Mailed check             ,19.75,California,Emeryville            ,37.83726,-122.287648,43,No     ,No               ,0,None   ,0,No             ,No            ,0.0,0,11.91,31.66,Medium,9,0,9,Resolved
1271-SJBGZ,Male  ,1,No     ,No        ,12,No          ,No phone service,DSL            ,Yes                ,No                 ,Yes                ,Month-to-month,Yes             ,Electronic check         ,43.65,California,Forest Knolls         ,38.010092,-122.689442,77,No     ,No               ,0,None   ,10,No             ,Yes           ,0.0,0,0.0,526.95,Low,7,1,8,Resolved
7493-GVFIO,Male  ,0,No     ,No        ,57,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Two year      ,No              ,Credit card (automatic)  ,20.55,California,Stockton              ,37.959706,-121.287669,56,No     ,No               ,0,Offer B,0,No             ,No            ,0.0,0,740.4300000000001,1993.28,Medium,1,5,6,Resolved
4290-BSXUX,Male  ,0,Yes    ,No        ,3,Yes         ,Yes             ,Fiber optic    ,Yes                ,No                 ,No                 ,Month-to-month,Yes             ,Bank transfer (automatic),79.65,California,Fields Landing        ,40.726949,-124.217378,33,Yes    ,Yes              ,1,None   ,17,No             ,Yes           ,0.0,0,129.81,381.56,Low,8,0,8,Resolved
9026-LHEVG,Female,0,No     ,No        ,9,No          ,No phone service,DSL            ,No                 ,No                 ,Yes                ,Month-to-month,No              ,Electronic check         ,40.75,California,Boulevard             ,32.677097,-116.304991,45,No     ,No               ,0,Offer E,21,Yes            ,No            ,0.0,20,0.0,379.4,High,0,3,3,Resolved
7206-PQBBZ,Male  ,1,Yes    ,No        ,11,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,70.2,California,Fontana               ,34.136367,-117.460803,76,Yes    ,Yes              ,7,Offer D,29,No             ,Yes           ,0.0,0,268.62,1103.3200000000002,Medium,0,3,3,Resolved
